        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-09 12:24:17 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1197   ,                32   ,                  1199   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.6   ,                  2550   ,
2021-03-09 12:24:18 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1202   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.5   ,                         6.0   ,              16   , 0.7180   ,               32.6   ,                  2550   ,
2021-03-09 12:24:19 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1200   ,                32   ,                  1203   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2550   ,
2021-03-09 12:24:20 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1199   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2550   ,
2021-03-09 12:24:21 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1198   ,                32   ,                  1199   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2550   ,
2021-03-09 12:24:22 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1198   ,                32   ,                  1202   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.9   ,                         6.2   ,              16   , 0.7180   ,               32.4   ,                  2550   ,
2021-03-09 12:24:23 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1202   ,                32   ,                  1197   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2550   ,
2021-03-09 12:24:24 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1201   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2550   ,
2021-03-09 12:24:25 ,         300.0   ,            101.3   ,               35.0   ,                32   ,                  1202   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2550   ,
2021-03-09 12:24:26 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1196   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.8   ,                  2550   ,
2021-03-09 12:24:27 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1202   ,                32   ,                  1199   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.8   ,                         6.1   ,              16   , 0.7180   ,               32.5   ,                  2550   ,
2021-03-09 12:24:28 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1199   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.9   ,                         6.2   ,              16   , 0.7180   ,               32.3   ,                  2550   ,
2021-03-09 12:24:29 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1202   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                    10.0   ,                         6.2   ,              16   , 0.7180   ,               32.3   ,                  2550   ,
2021-03-09 12:24:30 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1199   ,                32   ,                  1199   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                    10.1   ,                         6.3   ,              16   , 0.7180   ,               32.6   ,                  2548   ,
2021-03-09 12:24:31 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1202   ,                32   ,                  1201   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         6.0   ,              16   , 0.7180   ,               32.6   ,                  2524   ,
2021-03-09 12:24:32 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1198   ,                32   ,                  1198   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2524   ,
2021-03-09 12:24:33 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1200   ,                32   ,                  1202   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.5   ,                  2524   ,
2021-03-09 12:24:34 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1199   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.9   ,                         6.2   ,              16   , 0.7180   ,               32.4   ,                  2524   ,
2021-03-09 12:24:35 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1199   ,                32   ,                  1198   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                    10.0   ,                         6.2   ,              16   , 0.7180   ,               32.5   ,                  2523   ,
2021-03-09 12:24:36 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1201   ,                32   ,                  1204   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                    10.0   ,                         6.2   ,              16   , 0.7180   ,               32.5   ,                  2523   ,
2021-03-09 12:24:37 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1203   ,                32   ,                  1198   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.9   ,                         6.2   ,              16   , 0.7180   ,               32.5   ,                  2523   ,
2021-03-09 12:24:38 ,         300.0   ,            101.3   ,               34.0   ,                32   ,                  1198   ,                32   ,                  1200   ,            289   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.6   ,                         6.0   ,              16   , 0.7180   ,               32.4   ,                  2523   ,
